Name,Class,Variant,Role,PV,Type,Size,Move,Short,ShortMin,Medium,MediumMin,Long,LongMin,Extreme,ExtremeMin,Threshold,Overheat,Armor,Structure,Specials,ImageURL,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Prey Seeker PY-SR20,Prey Seeker,PY-SR20,Striker,27,BM,1,"24""",2,False,2,False,0,False,0,False,0,1,2,1,ENE,https://i.ibb.co/WkLHSR4/prey-seeker-3150.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns
Prey Seeker PY-SR30,Prey Seeker,PY-SR30,Scout,17,BM,1,"24""",1,False,0,True,0,False,0,False,0,0,2,1,,https://i.ibb.co/WkLHSR4/prey-seeker-3150.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns
Roadrunner (Emerald Harrier) RD-1R,Roadrunner (Emerald Harrier),RD-1R,Scout,22,BM,1,"28""",2,False,2,False,0,False,0,False,0,0,1,1,ENE,https://i.ibb.co/V2FSLgK/roadrunner-emerald-harrier-3150.jpg,Unknown,Unknown,Clan Jade Falcon,Clan Jade Falcon,Clan Jade Falcon,Extinct,Extinct,Extinct,Republic of the Sphere,Republic of the Sphere,"Capellan Confederation, Mercenary, Star League (Clan Jade Falcon)"
Baboon (Howler)  ,Baboon (Howler), ,Missile Boat,20,BM,1,"14""",1,False,1,False,1,False,0,False,0,0,2,2,"CASE,IF1",https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,,,,,,,,,,,
Baboon (Howler) 2,Baboon (Howler),2,Striker,24,BM,1,"16""",3,False,2,False,1,False,0,False,0,0,2,1,CASE,https://i.ibb.co/RzkcrSN/baboon-howler-pp.png,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Snow Raven, Clan Steel Viper","Clan Snow Raven, Clan Steel Viper",Raven Alliance,Raven Alliance,Raven Alliance,Raven Alliance
"Baboon (Howler) 3 ""Devil""",Baboon (Howler),"3 ""Devil""",Striker,24,BM,1,"16""",2,False,2,False,2,False,0,False,0,0,2,1,ENE,https://i.ibb.co/RzkcrSN/baboon-howler-pp.png,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Snow Raven,Clan Snow Raven,Raven Alliance,Raven Alliance,Raven Alliance,Raven Alliance
Baboon (Howler) 4,Baboon (Howler),4,Scout,17,BM,1,"14""j",0,True,0,True,0,True,0,False,0,0,2,2,"CASE,IF0*",https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,Unknown,Clan Fire Mandrill,"Clan Fire Mandrill, Clan Jade Falcon, Clan Snow Raven","Clan Fire Mandrill, Clan Jade Falcon, Clan Snow Raven","Clan Fire Mandrill, Clan Jade Falcon, Clan Snow Raven","Clan Fire Mandrill, Clan Jade Falcon, Clan Snow Raven, Clan Star Adder, Clan Steel Viper","Clan Burrock, Clan Fire Mandrill, Clan Jade Falcon, Clan Snow Raven, Clan Star Adder, Clan Steel Viper",Clan Jade Falcon,Clan Jade Falcon,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Baboon (Howler) 5,Baboon (Howler),5,Striker,29,BM,1,"14""",3,False,3,False,0,False,0,False,0,2,2,2,ENE,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,Unknown,Unknown,Unknown,Unknown,Clan Jade Falcon,"Clan Jade Falcon, Clan Steel Viper","Clan Jade Falcon, Clan Steel Viper",Clan Jade Falcon,Clan Jade Falcon,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Baboon (Howler) 6,Baboon (Howler),6,Striker,23,BM,1,"14""",2,False,2,False,0,False,0,False,0,0,2,2,"CASEII,SRM2/2,TUR(2/2/-,SRM2/2)",https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Hell's Horses, Clan Jade Falcon","Clan Hell's Horses, Clan Jade Falcon","Clan Hell's Horses, Clan Jade Falcon","Alyina Mercantile League, Clan Hell's Horses, Clan Jade Falcon, Mercenary"
Butcherbird (Ion Sparrow) A,Butcherbird (Ion Sparrow),A,Scout,21,BM,1,"16""/20""j",2,False,0,False,0,False,0,False,0,0,2,1,"CASE,JMPS1,OMNI,PRB,RCN",https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Butcherbird (Ion Sparrow) B,Butcherbird (Ion Sparrow),B,Scout,24,BM,1,"16""/20""j",2,False,2,False,0,False,0,False,0,0,2,1,"CASE,JMPS1,OMNI,SRM1/1",https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Butcherbird (Ion Sparrow) C,Butcherbird (Ion Sparrow),C,Scout,35,BM,1,"16""/20""j",4,False,4,False,0,False,0,False,0,0,2,1,"ENE,JMPS1,OMNI",https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Butcherbird (Ion Sparrow) D,Butcherbird (Ion Sparrow),D,Scout,30,BM,1,"16""/20""j",3,False,3,False,0,False,0,False,0,0,2,1,"ENE,JMPS1,OMNI",https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Butcherbird (Ion Sparrow) Prime,Butcherbird (Ion Sparrow),Prime,Scout,30,BM,1,"16""/20""j",3,False,3,False,0,False,0,False,0,0,2,1,"CASE,JMPS1,OMNI",https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Cossack C-1FC,Cossack,C-1FC,Scout,14,BM,1,"12""j",2,False,1,False,0,True,0,False,0,0,2,1,ENE,https://i.ibb.co/jhmq1pX/cossack-3060.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mercenary,Mercenary,Mercenary,Mercenary,Mercenary
Cossack C-SK1,Cossack,C-SK1,Striker,17,BM,1,"12""j",2,False,2,False,0,False,0,False,0,0,2,1,,https://i.ibb.co/jhmq1pX/cossack-3060.png,Unknown,Unknown,Unknown,Unknown,"Mercenary, St. Ives Compact","Capellan Confederation, ComStar, Kell Hounds, Mercenary, St. Ives Compact, Wolf's Dragoons","Capellan Confederation, ComStar, Kell Hounds, Mercenary, Wolf's Dragoons","Capellan Confederation, Fronc Reaches, Mercenary","Capellan Confederation, Fronc Reaches, Mercenary","Capellan Confederation, Fronc Reaches, Mercenary","Capellan Confederation, Fronc Reaches, Mercenary"
Dasher (Fire Moth) (Aletha),Dasher (Fire Moth),(Aletha),Striker,31,BM,1,"26""",3,False,3,False,1,False,0,False,0,0,1,1,"ECM,ENE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Ghost Bear, Unique","Rasalhague Dominion, Unique","Rasalhague Dominion, Unique",Extinct,Extinct
Dasher (Fire Moth) A,Dasher (Fire Moth),A,Scout,20,BM,1,"26""",1,False,1,False,0,False,0,False,0,0,1,1,"AMS,CASE,OMNI,PRB,RCN,TAG",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,"Clan Cloud Cobra, Clan Ghost Bear","Clan Cloud Cobra, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses","Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses, Clan Ice Hellion, Clan Jade Falcon, Clan Nova Cat, Clan Star Adder, Clan Steel Viper","HW Clan General, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) B,Dasher (Fire Moth),B,Striker,24,BM,1,"26""",2,False,2,False,0,False,0,False,0,0,1,1,"CASE,ECM,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,"Clan Cloud Cobra, Clan Ghost Bear","Clan Cloud Cobra, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses","Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses, Clan Ice Hellion, Clan Jade Falcon, Clan Nova Cat, Clan Star Adder, Clan Steel Viper","HW Clan General, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) C,Dasher (Fire Moth),C,Missile Boat,19,BM,1,"26""",1,False,1,False,1,False,0,False,0,0,1,1,"AMS,CASE,IF1,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,"Clan Cloud Cobra, Clan Ghost Bear","Clan Cloud Cobra, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses","Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses, Clan Ice Hellion, Clan Jade Falcon, Clan Nova Cat, Clan Star Adder, Clan Steel Viper","HW Clan General, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) D,Dasher (Fire Moth),D,Striker,30,BM,1,"26""",4,False,3,False,0,False,0,False,0,1,1,1,"ENE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,"Clan Cloud Cobra, Clan Ghost Bear","Clan Cloud Cobra, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses","Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses, Clan Ice Hellion, Clan Jade Falcon, Clan Nova Cat, Clan Star Adder, Clan Steel Viper","HW Clan General, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) E,Dasher (Fire Moth),E,Scout,18,BM,1,"26""",2,False,1,False,1,False,0,False,0,0,1,1,"CASE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,"HW Clan General, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) F,Dasher (Fire Moth),F,Striker,31,BM,1,"26""",3,False,3,False,0,False,0,False,0,0,1,1,"CASE,OMNI,PRB,RCN",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) G,Dasher (Fire Moth),G,Striker,35,BM,1,"30""",4,False,4,False,0,False,0,False,0,1,1,1,"CASE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) H,Dasher (Fire Moth),H,Striker,25,BM,1,"26""",5,False,0,False,0,False,0,False,0,1,1,1,"ENE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,"Clan Blood Spirit, Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Goliath Scorpion, Clan Ice Hellion, Clan Snow Raven, Clan Star Adder, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) I,Dasher (Fire Moth),I,Sniper,24,BM,1,"26""",2,False,2,False,2,False,0,False,0,0,1,1,"CASE,IF0*,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) J,Dasher (Fire Moth),J,Striker,23,BM,1,"26""",2,False,2,False,0,False,0,False,0,0,1,1,"ENE,HT1/1/1,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) K,Dasher (Fire Moth),K,Striker,28,BM,1,"26""",3,False,3,False,0,False,0,False,0,0,1,1,"CASE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) M,Dasher (Fire Moth),M,Striker,30,BM,1,"26""",3,False,3,False,1,False,0,False,0,0,1,1,"CASE,IF1,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) P,Dasher (Fire Moth),P,Striker,22,BM,1,"30""",4,False,0,False,0,False,0,False,0,0,1,1,"ENE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) Prime,Dasher (Fire Moth),Prime,Striker,28,BM,1,"26""",3,False,3,False,0,False,0,False,0,0,1,1,"CASE,OMNI,SRM1/1",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,"Clan Cloud Cobra, Clan Ghost Bear","Clan Cloud Cobra, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses","Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses, Clan Ice Hellion, Clan Jade Falcon, Clan Nova Cat, Clan Star Adder, Clan Steel Viper","HW Clan General, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) R,Dasher (Fire Moth),R,Scout,32,BM,1,"26""",3,False,3,False,0,False,0,False,0,0,1,1,"C3S,CASE,ECM,MHQ1,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) T,Dasher (Fire Moth),T,Striker,28,BM,1,"30""",3,False,3,False,0,False,0,False,0,0,1,1,"CASE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"IS Clan General, Mercenary","IS Clan General, Mercenary"
Fireball ALM-10D,Fireball,ALM-10D,Striker,26,BM,1,"28""",2,False,2,False,0,False,0,False,0,0,2,1,ENE,https://i.ibb.co/p0KNM8N/fireball-3055u.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Federated Suns, Lyran Alliance, Mercenary","Federated Suns, Lyran Commonwealth, Mercenary, Republic of the Sphere","Federated Suns, Lyran Commonwealth, Mercenary, Republic of the Sphere","Federated Suns, Lyran Commonwealth, Mercenary, Republic of the Sphere","Federated Suns, Lyran Commonwealth, Mercenary"
Fireball ALM-7D,Fireball,ALM-7D,Scout,17,BM,1,"22""",1,False,0,True,0,False,0,False,0,0,2,1,,https://i.ibb.co/p0KNM8N/fireball-3055u.png,Unknown,Unknown,Unknown,Unknown,"Federated Commonwealth, Federated Suns, Lyran Alliance, Lyran Commonwealth, Mercenary, St. Ives Compact","Federated Commonwealth, Federated Suns, Lyran Alliance, Mercenary, St. Ives Compact","Federated Suns, Filtvelt Coalition, Lyran Alliance, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary","Filtvelt Coalition, Mercenary"
Fireball ALM-8D,Fireball,ALM-8D,Scout,20,BM,1,"22""",2,False,1,False,0,False,0,False,0,0,2,1,,https://i.ibb.co/p0KNM8N/fireball-3055u.png,Unknown,Unknown,Unknown,Unknown,"Federated Commonwealth, Federated Suns, Lyran Alliance, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Lyran Alliance","Federated Suns, Lyran Alliance","Federated Suns, Mercenary","Federated Suns, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary"
Fireball ALM-9D,Fireball,ALM-9D,Scout,19,BM,1,"22""",1,False,1,False,0,False,0,False,0,0,2,1,,https://i.ibb.co/p0KNM8N/fireball-3055u.png,Unknown,Unknown,Unknown,Unknown,"Federated Commonwealth, Federated Suns, Lyran Alliance, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Lyran Alliance","Federated Suns, Lyran Alliance","Federated Suns, Mercenary","Federated Suns, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary"
Fireball ALM-XF,Fireball,ALM-XF,Scout,25,BM,1,"48""",1,False,1,False,0,False,0,False,0,0,2,1,ENE,https://i.ibb.co/hMJTvDz/fireball-xtr.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unique,Unique,Extinct,Extinct,Extinct
"Flea ""Fire Ant""",Flea,"""Fire Ant""",Scout,15,BM,1,"16""",2,False,0,False,0,False,0,False,0,0,1,2,HT1/-/-,https://i.ibb.co/1QgVGj3/flea-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Capellan Confederation,Extinct,Extinct,Extinct,Extinct,Extinct
Flea FLE-15,Flea,FLE-15,Scout,14,BM,1,"12""",2,False,1,False,0,False,0,False,0,0,2,2,REAR1/-/-,https://i.ibb.co/1QgVGj3/flea-rg.png,"Free Worlds League, Magistracy of Canopus, Outworlds Alliance","Free Worlds League, Magistracy of Canopus, Outworlds Alliance","Free Worlds League, Wolf's Dragoons","Free Worlds League, Wolf's Dragoons","Free Worlds League, Wolf's Dragoons","Free Worlds League, Wolf's Dragoons","Free Worlds League, Wolf's Dragoons",Extinct,Extinct,Extinct,Extinct
